Grupo Etareo;Anio;Variable;Departamento;Number of Records;Total
1m a < 2m;2019;MORBILIDAD POR DESNUTRICIÓN CRONICA;GUATEMALA;1;115
1m a < 2m;2019;MORBILIDAD POR DESNUTRICIÓN CRONICA;HUEHUETENANGO;1;473
1m a < 2m;2019;MORBILIDAD POR DESNUTRICIÓN CRONICA;IZABAL;1;22
1m a < 2m;2019;MORBILIDAD POR DESNUTRICIÓN CRONICA;JALAPA;1;1
1m a < 2m;2019;MORBILIDAD POR DESNUTRICIÓN CRONICA;JUTIAPA;1;17
1m a < 2m;2019;MORBILIDAD POR DESNUTRICIÓN CRONICA;QUETZALTENANGO;1;247
1m a < 2m;2019;MORBILIDAD POR DESNUTRICIÓN CRONICA;QUICHE;1;97
1m a < 2m;2019;MORBILIDAD POR DESNUTRICIÓN CRONICA;RETALHULEU;1;7
1m a < 2m;2019;MORBILIDAD POR DESNUTRICIÓN CRONICA;SACATEPEQUEZ;1;16
1m a < 2m;2019;MORBILIDAD POR DESNUTRICIÓN CRONICA;SAN MARCOS;1;27
1m a < 2m;2019;MORBILIDAD POR DESNUTRICIÓN CRONICA;SANTA ROSA;1;9
1m a < 2m;2019;MORBILIDAD POR DESNUTRICIÓN CRONICA;SOLOLA;1;2
1m a < 2m;2019;MORBILIDAD POR DESNUTRICIÓN CRONICA;SUCHITEPEQUEZ;1;4
1m a < 2m;2019;MORBILIDAD POR DESNUTRICIÓN CRONICA;TOTONICAPAN;1;59
1m a < 2m;2019;MORBILIDAD POR DESNUTRICIÓN CRONICA;ZACAPA;1;3
2m a < 1 año;2019;MORBILIDAD POR DESNUTRICIÓN CRONICA;ALTA VERAPAZ;1;8230
2m a < 1 año;2019;MORBILIDAD POR DESNUTRICIÓN CRONICA;BAJA VERAPAZ;1;298
2m a < 1 año;2019;MORBILIDAD POR DESNUTRICIÓN CRONICA;CHIMALTENANGO;1;4653
2m a < 1 año;2019;MORBILIDAD POR DESNUTRICIÓN CRONICA;EL PETEN;1;1463
2m a < 1 año;2019;MORBILIDAD POR DESNUTRICIÓN CRONICA;EL PROGRESO;1;361
2m a < 1 año;2019;MORBILIDAD POR DESNUTRICIÓN CRONICA;ESCUINTLA;1;1328
2m a < 1 año;2019;MORBILIDAD POR DESNUTRICIÓN CRONICA;GUATEMALA;1;3509
2m a < 1 año;2019;MORBILIDAD POR DESNUTRICIÓN CRONICA;HUEHUETENANGO;1;13187
2m a < 1 año;2019;MORBILIDAD POR DESNUTRICIÓN CRONICA;IZABAL;1;449
2m a < 1 año;2019;MORBILIDAD POR DESNUTRICIÓN CRONICA;JALAPA;1;286
2m a < 1 año;2019;MORBILIDAD POR DESNUTRICIÓN CRONICA;JUTIAPA;1;1041
2m a < 1 año;2019;MORBILIDAD POR DESNUTRICIÓN CRONICA;QUETZALTENANGO;1;5827
2m a < 1 año;2019;MORBILIDAD POR DESNUTRICIÓN CRONICA;QUICHE;1;7519
2m a < 1 año;2019;MORBILIDAD POR DESNUTRICIÓN CRONICA;RETALHULEU;1;501
2m a < 1 año;2019;MORBILIDAD POR DESNUTRICIÓN CRONICA;SACATEPEQUEZ;1;1092
2m a < 1 año;2019;MORBILIDAD POR DESNUTRICIÓN CRONICA;SAN MARCOS;1;1843
2m a < 1 año;2019;MORBILIDAD POR DESNUTRICIÓN CRONICA;SANTA ROSA;1;500
2m a < 1 año;2019;MORBILIDAD POR DESNUTRICIÓN CRONICA;SOLOLA;1;421
2m a < 1 año;2019;MORBILIDAD POR DESNUTRICIÓN CRONICA;SUCHITEPEQUEZ;1;300
2m a < 1 año;2019;MORBILIDAD POR DESNUTRICIÓN CRONICA;TOTONICAPAN;1;3268
2m a < 1 año;2019;MORBILIDAD POR DESNUTRICIÓN CRONICA;ZACAPA;1;245
< 1 mes;2019;MORBILIDAD POR DESNUTRICIÓN CRONICA;ALTA VERAPAZ;1;22
< 1 mes;2019;MORBILIDAD POR DESNUTRICIÓN CRONICA;BAJA VERAPAZ;1;5
< 1 mes;2019;MORBILIDAD POR DESNUTRICIÓN CRONICA;CHIMALTENANGO;1;10
< 1 mes;2019;MORBILIDAD POR DESNUTRICIÓN CRONICA;EL PETEN;1;13
< 1 mes;2019;MORBILIDAD POR DESNUTRICIÓN CRONICA;EL PROGRESO;1;1
< 1 mes;2019;MORBILIDAD POR DESNUTRICIÓN CRONICA;ESCUINTLA;1;7
< 1 mes;2019;MORBILIDAD POR DESNUTRICIÓN CRONICA;GUATEMALA;1;59
< 1 mes;2019;MORBILIDAD POR DESNUTRICIÓN CRONICA;HUEHUETENANGO;1;361
< 1 mes;2019;MORBILIDAD POR DESNUTRICIÓN CRONICA;IZABAL;1;4
< 1 mes;2019;MORBILIDAD POR DESNUTRICIÓN CRONICA;JALAPA;1;2
< 1 mes;2019;MORBILIDAD POR DESNUTRICIÓN CRONICA;JUTIAPA;1;9
< 1 mes;2019;MORBILIDAD POR DESNUTRICIÓN CRONICA;QUETZALTENANGO;1;82
< 1 mes;2019;MORBILIDAD POR DESNUTRICIÓN CRONICA;QUICHE;1;19
< 1 mes;2019;MORBILIDAD POR DESNUTRICIÓN CRONICA;RETALHULEU;1;8
< 1 mes;2019;MORBILIDAD POR DESNUTRICIÓN CRONICA;SACATEPEQUEZ;1;2
< 1 mes;2019;MORBILIDAD POR DESNUTRICIÓN CRONICA;SAN MARCOS;1;10
< 1 mes;2019;MORBILIDAD POR DESNUTRICIÓN CRONICA;SANTA ROSA;1;9
< 1 mes;2019;MORBILIDAD POR DESNUTRICIÓN CRONICA;SUCHITEPEQUEZ;1;6
< 1 mes;2019;MORBILIDAD POR DESNUTRICIÓN CRONICA;TOTONICAPAN;1;31
< 1 mes;2019;MORBILIDAD POR DESNUTRICIÓN CRONICA;ZACAPA;1;2
